  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 15:22:08	   0.004	   0.000	  235.13	 1001.72	   12.71	  -370.0	  -137.6	   318.6	   387.9	  -442.4	    52.7	   0.000	   1.221	   549.3	    30.0	  339788	   92.00	   92.00	    8.15	    8.00	    0.00	  15.426	  15.294	  31.336	  31.289	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 15:22:34	   0.004	   0.000	  234.15	 1001.70	   12.75	    23.0	  -133.6	   248.6	   315.4	  -117.8	    51.1	   0.000	   1.221	   547.0	    29.9	  339009	   84.00	   84.00	    5.51	    5.31	    0.00	  15.811	  15.622	  29.860	  30.056	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 15:23:31	   0.004	   0.000	  235.12	 1001.75	   12.81	    30.0	  -135.0	   248.2	   316.5	  -111.9	    50.3	   0.000	   1.220	   549.3	    30.0	  339637	   84.00	   84.00	    5.48	    5.30	    0.00	  16.246	  16.041	  29.878	  29.991	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 15:24:10	   0.004	   0.000	  235.24	 1001.86	   12.82	   436.9	  -138.0	   170.2	   240.2	   238.6	    51.7	   0.000	   1.220	   549.6	    30.0	  339724	   74.00	   74.00	    2.78	    2.71	    0.00	  16.323	  16.155	  28.297	  28.456	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 15:24:43	   0.004	   0.000	  235.11	 1001.86	   12.84	   703.7	  -125.6	   120.7	   180.0	   474.6	    51.9	   0.000	   1.220	   549.3	    30.0	  339605	   66.00	   66.00	    1.17	    1.06	    0.00	  16.232	  16.111	  26.334	  26.984	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 15:25:23	   4.995	   0.000	  235.04	 1001.93	   12.86	  -151.2	   -96.4	   868.2	   913.6	  -468.5	    46.1	   0.000	   1.220	   549.1	    30.0	  339530	   92.00	   92.00	    9.09	    8.78	    0.00	  16.134	  16.025	  27.782	  28.041	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 15:25:56	   4.995	   0.000	  235.21	 1001.95	   12.84	   240.7	   -81.2	   801.3	   834.7	  -137.0	    43.9	   0.000	   1.220	   549.5	    30.0	  339688	   84.00	   84.00	    6.12	    5.98	    0.00	  16.264	  16.102	  26.380	  26.858	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 15:26:45	   4.995	   0.000	  235.11	 1001.91	   12.83	   650.4	   -99.1	   711.8	   757.0	   223.3	    48.4	   0.000	   1.220	   549.3	    30.0	  339622	   74.00	   74.00	    3.16	    3.02	    0.00	  16.293	  16.173	  25.071	  25.586	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 15:27:23	   4.995	   0.000	  235.07	 1001.99	   12.84	   920.2	  -101.0	   654.1	   701.5	   460.3	    48.1	   0.000	   1.221	   549.2	    30.0	  339603	   66.00	   66.00	    1.33	    1.20	    0.00	  16.158	  16.094	  23.309	  24.047	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
