  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
     138	 17:57:23	   0.005	   0.000	  236.04	 1007.08	   13.25	    40.5	  -130.9	   347.3	   409.1	  -343.0	    51.5	   0.000	   1.225	   551.4	    30.0	  340538	   84.00	   84.00	    5.37	    5.24	    0.00	  15.382	  15.358	  30.563	  30.424	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     139	 17:58:10	   0.005	   0.000	  236.06	 1007.10	   13.31	   450.0	  -137.9	   262.9	   330.0	    18.6	    51.8	   0.000	   1.225	   551.5	    30.0	  340470	   74.00	   74.00	    2.75	    2.69	    0.00	  15.692	  15.619	  28.599	  28.770	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     140	 17:58:52	   0.005	   0.000	  236.36	 1007.17	   13.32	    39.8	  -116.8	   353.7	   401.7	  -343.1	    53.1	   0.000	   1.225	   552.2	    30.0	  340680	   84.00	   84.00	    5.42	    5.30	    0.00	  15.871	  15.780	  30.220	  30.013	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     141	 18:00:30	   4.996	   0.000	  235.70	 1007.25	   13.32	   701.2	   -94.0	   799.2	   839.1	    34.0	    45.4	   0.000	   1.225	   550.6	    30.0	  340210	   74.00	   74.00	    2.77	    2.71	    0.00	  16.121	  16.015	  28.915	  28.764	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     142	 18:01:43	   0.004	   4.995	  235.97	 1007.25	   13.32	   -60.1	 -1928.2	  -104.2	   909.6	  -442.8	  1076.4	   0.000	   1.225	   551.3	    30.0	  340405	   84.00	   84.00	    5.46	    5.20	    0.00	  16.353	  16.190	  30.539	  30.399	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     143	 18:02:18	   0.004	   4.995	  235.91	 1007.23	   13.34	   342.8	 -1920.9	  -184.6	   825.4	   -82.7	  1074.1	   0.000	   1.225	   551.1	    30.0	  340333	   74.00	   74.00	    2.88	    2.64	    0.00	  16.494	  16.316	  28.830	  28.969	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     144	 18:03:29	   4.995	   4.995	  235.79	 1007.33	   13.34	   213.9	 -1643.3	   499.4	  1361.1	  -425.1	   890.1	   0.000	   1.225	   550.9	    30.0	  340268	   84.00	   84.00	    5.53	    5.26	    0.00	  16.689	  16.456	  30.443	  30.235	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     145	 18:04:09	   4.995	   4.995	  235.84	 1007.32	   13.32	   613.9	 -1643.6	   410.4	  1273.0	   -57.0	   892.7	   0.000	   1.225	   551.0	    30.0	  340324	   73.99	   74.00	    2.92	    2.66	    0.00	  16.797	  16.546	  29.132	  28.808	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     146	 18:05:45	   0.004	   0.000	  417.71	 1007.37	   13.67	  -142.8	  -273.5	   639.4	   787.5	  -781.3	    95.7	   0.000	   1.224	   979.0	    40.0	  452958	  112.00	  112.00	   11.63	   11.25	    0.00	  18.104	  17.448	  35.935	  35.975	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     147	 18:06:26	   0.004	   0.000	  417.34	 1007.39	   13.75	   658.7	  -261.0	   488.6	   621.8	   -77.3	    99.4	   0.000	   1.223	   978.1	    40.0	  452589	   98.00	   98.00	    5.58	    5.40	    0.00	  18.785	  18.053	  34.567	  34.463	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     148	 18:07:28	   4.995	   0.000	  417.64	 1007.46	   13.78	   323.0	  -127.8	  1641.6	  1686.3	  -816.3	    57.0	   0.000	   1.223	   978.8	    40.0	  452709	  112.00	  112.00	   11.65	   11.38	    0.00	  19.337	  18.541	  36.092	  35.775	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     149	 18:08:13	   4.995	   0.000	  417.35	 1007.47	   13.78	  1111.8	  -119.5	  1476.8	  1516.3	  -108.3	    54.7	   0.000	   1.223	   978.1	    40.0	  452553	   98.00	   98.00	    5.64	    5.48	    0.00	  19.779	  18.947	  34.559	  34.278	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     150	 18:09:26	   0.004	   4.995	  417.18	 1007.54	   13.90	  -266.1	 -3347.2	  -137.3	  1635.5	  -921.8	  1866.3	   0.000	   1.223	   977.7	    40.0	  452234	  112.00	  112.00	   11.61	   11.28	    0.00	  20.193	  19.317	  36.058	  35.361	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     151	 18:10:11	   0.004	   4.995	  417.20	 1007.58	   13.96	   520.3	 -3345.9	  -299.7	  1477.5	  -220.8	  1865.4	   0.000	   1.223	   977.8	    40.0	  452136	   98.00	   98.00	    5.80	    5.36	    0.00	  20.487	  19.584	  34.385	  34.074	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     152	 18:11:08	   4.995	   4.995	  417.09	 1007.61	   13.96	   211.7	 -2829.2	   955.6	  2435.6	  -943.8	  1530.9	   0.000	   1.223	   977.5	    40.0	  452078	  112.00	  112.00	   11.72	   11.35	    0.00	  20.625	  19.655	  36.056	  35.404	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     153	 18:11:47	   4.995	   4.995	  417.49	 1007.64	   13.96	   991.8	 -2846.1	   777.8	  2274.4	  -230.5	  1542.4	   0.000	   1.223	   978.5	    40.0	  452303	   97.99	   98.00	    5.88	    5.41	    0.00	  20.869	  19.837	  34.448	  33.973	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     154	 18:13:06	   4.995	   0.000	  236.03	 1007.68	   13.76	   296.0	   -81.8	   889.9	   918.9	  -329.2	    44.0	   0.000	   1.224	   551.4	    30.0	  339857	   84.00	   84.00	    4.55	    4.41	    0.00	  20.359	  19.553	  36.484	  36.643	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
