  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
     114	 17:10:09	   0.005	   4.995	  235.46	 1005.75	   13.64	  -449.5	 -1940.5	  -136.5	   879.0	  -518.1	  1086.1	   0.000	   1.222	   550.1	    30.0	  339305	   92.00	   92.00	    8.13	    7.90	    0.00	  17.554	  17.243	  31.155	  31.255	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     115	 17:10:46	   0.005	   4.995	  235.30	 1005.75	   13.67	   -69.7	 -1933.0	  -208.5	   809.6	  -196.8	  1079.1	   0.000	   1.222	   549.7	    30.0	  339147	   84.00	   84.00	    5.60	    5.26	    0.00	  17.817	  17.447	  29.622	  30.097	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     116	 17:11:23	   0.005	   4.995	  235.39	 1005.84	   13.68	   330.4	 -1925.1	  -283.5	   730.0	   150.8	  1076.6	   0.000	   1.222	   549.9	    30.0	  339202	   74.00	   74.00	    2.96	    2.68	    0.00	  17.881	  17.533	  27.995	  28.584	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     117	 17:12:05	   0.005	   4.995	  235.31	 1005.77	   13.70	   601.5	 -1927.4	  -340.5	   674.5	   393.4	  1079.4	   0.000	   1.221	   549.7	    30.0	  339105	   66.00	   66.00	    1.27	    1.04	    0.00	  17.699	  17.424	  26.423	  27.043	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     118	 17:12:56	   4.995	   4.995	  235.27	 1005.72	   13.66	  -219.2	 -1638.8	   479.3	  1333.9	  -531.5	   889.8	   0.000	   1.222	   549.6	    30.0	  339127	   92.00	   92.00	    9.01	    8.58	    0.00	  17.573	  17.289	  27.751	  28.436	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     119	 17:13:41	   4.995	   4.995	  235.18	 1005.78	   13.60	   159.8	 -1642.5	   401.1	  1263.3	  -204.3	   889.5	   0.000	   1.222	   549.4	    30.0	  339161	   84.00	   84.00	    6.43	    5.83	    0.00	  17.704	  17.395	  25.620	  27.236	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     120	 17:14:26	   4.995	   4.995	  235.27	 1005.85	   13.58	   558.8	 -1644.5	   315.9	  1179.9	   152.0	   892.7	   0.000	   1.222	   549.6	    30.0	  339269	   74.00	   74.00	    3.47	    2.91	    0.00	  17.629	  17.399	  24.342	  26.100	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     121	 17:15:16	   4.995	   4.995	  235.17	 1005.83	   13.58	   831.3	 -1650.8	   254.5	  1123.0	   398.0	   898.1	   0.000	   1.222	   549.4	    30.0	  339198	   66.00	   66.00	    1.55	    1.13	    0.00	  17.354	  17.208	  22.698	  24.458	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     122	 17:16:42	   0.005	   4.995	  417.01	 1005.92	   13.86	  -277.8	 -3359.8	  -321.6	  1458.6	  -478.5	  1873.5	   0.000	   1.221	   977.3	    40.0	  451861	  112.00	  112.00	   13.03	   12.20	    0.00	  17.975	  17.493	  32.017	  32.564	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     123	 17:17:19	   0.005	   4.995	  416.59	 1005.90	   13.95	   499.4	 -3352.2	  -471.3	  1308.8	   193.2	  1868.9	   0.000	   1.221	   976.3	    40.0	  451431	   98.00	   98.00	    6.46	    5.81	    0.00	  18.586	  17.970	  30.781	  31.288	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     124	 17:18:02	   0.005	   4.995	  416.63	 1005.98	   14.02	   744.1	 -3352.5	  -520.8	  1260.6	   407.5	  1869.7	   0.000	   1.220	   976.4	    40.0	  451346	   93.00	   93.00	    4.75	    4.04	    0.00	  18.729	  18.167	  28.736	  30.215	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     125	 17:18:44	   0.005	   4.995	  416.45	 1006.07	   14.08	  1024.7	 -3355.4	  -581.6	  1203.4	   661.1	  1872.6	   0.000	   1.220	   976.0	    40.0	  451151	   87.00	   87.00	    2.64	    2.03	    0.00	  18.534	  18.077	  27.418	  28.565	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     126	 17:19:41	   4.995	   4.995	  416.28	 1006.05	   14.03	   117.2	 -2830.1	   781.3	  2263.9	  -552.6	  1530.9	   0.000	   1.220	   975.6	    40.0	  451143	  112.00	  112.00	   13.16	   12.32	    0.00	  18.634	  18.073	  32.020	  32.563	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     127	 17:20:20	   4.995	   4.995	  416.47	 1006.03	   14.02	   894.4	 -2849.3	   613.1	  2111.2	   134.9	  1544.0	   0.000	   1.220	   976.0	    40.0	  451266	   98.00	   98.00	    6.62	    5.85	    0.00	  19.062	  18.378	  30.520	  31.419	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     128	 17:21:00	   4.995	   4.995	  416.49	 1006.14	   14.02	  1140.9	 -2856.9	   557.6	  2061.4	   357.0	  1549.2	   0.000	   1.221	   976.1	    40.0	  451299	   93.00	   93.00	    4.75	    4.07	    0.00	  19.084	  18.455	  29.417	  30.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     129	 17:21:38	   4.995	   4.995	  416.51	 1006.20	   14.04	  1420.5	 -2867.9	   491.8	  2004.4	   611.9	  1556.8	   0.000	   1.221	   976.2	    40.0	  451287	   87.00	   87.00	    2.75	    2.03	    0.00	  18.884	  18.342	  27.717	  28.462	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
