  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      50	 16:07:54	   0.004	  -5.000	  234.78	 1003.40	   13.32	  -411.4	  2288.8	   999.9	  -253.7	  -495.4	 -1356.9	   0.000	   1.220	   548.5	    30.0	  338896	   92.00	   92.00	    8.22	    8.09	    0.00	  17.323	  17.021	  30.722	  30.662	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      51	 16:08:40	   0.004	  -5.000	  235.14	 1003.47	   13.35	   -28.6	  2291.8	   933.3	  -327.3	  -172.8	 -1356.5	   0.000	   1.220	   549.3	    30.0	  339128	   84.00	   84.00	    5.53	    5.51	    0.00	  17.562	  17.199	  29.150	  29.557	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      52	 16:09:25	   0.004	  -5.000	  235.29	 1003.42	   13.36	   374.4	  2289.1	   855.6	  -404.2	   177.0	 -1355.7	   0.000	   1.220	   549.7	    30.0	  339207	   74.00	   74.00	    2.82	    2.85	    0.00	  17.558	  17.260	  27.494	  28.313	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      53	 16:09:56	   0.004	  -5.000	  235.11	 1003.45	   13.36	   643.4	  2297.2	   803.8	  -462.5	   416.2	 -1361.9	   0.000	   1.220	   549.3	    30.0	  339082	   66.00	   66.00	    1.14	    1.21	    0.00	  17.397	  17.181	  25.969	  26.604	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      54	 16:10:39	   4.995	  -5.000	  234.81	 1003.50	   13.34	  -191.4	  2044.4	  1452.1	   372.2	  -520.9	 -1194.8	   0.000	   1.220	   548.6	    30.0	  338904	   92.00	   92.00	    9.15	    8.79	    0.00	  17.262	  17.058	  27.380	  27.674	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      55	 16:11:23	   4.995	  -5.000	  234.89	 1003.47	   13.32	   187.2	  2052.7	  1382.5	   292.8	  -194.0	 -1197.3	   0.000	   1.220	   548.8	    30.0	  338990	   84.00	   84.00	    6.12	    6.19	    0.00	  17.369	  17.131	  26.233	  26.608	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      56	 16:12:26	   4.995	  -5.000	  235.00	 1003.53	   13.28	   590.5	  2059.0	  1301.9	   206.8	   165.7	 -1203.1	   0.000	   1.221	   549.0	    30.0	  339140	   74.00	   74.00	    3.06	    3.23	    0.00	  17.304	  17.167	  25.162	  25.399	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      57	 16:13:24	   4.995	  -5.000	  234.98	 1003.54	   13.28	   860.2	  2069.4	  1246.6	   144.8	   409.2	 -1211.5	   0.000	   1.221	   549.0	    30.0	  339123	   66.00	   66.00	    1.25	    1.39	    0.00	  16.971	  16.947	  22.995	  23.863	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      58	 16:14:56	   0.004	   0.000	  235.34	 1003.54	   13.32	  -345.5	   450.0	   471.5	   211.1	  -399.2	  -346.5	   0.000	   1.220	   549.8	    30.0	  339320	   92.00	   92.00	    9.71	    9.31	    0.00	  17.113	  16.960	  25.894	  26.477	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      59	 16:15:34	   0.004	   0.000	  235.10	 1003.54	   13.32	    54.7	   454.4	   401.2	   139.5	   -69.1	  -351.9	   0.000	   1.220	   549.2	    30.0	  339154	   84.00	   84.00	    6.49	    6.13	    0.00	  17.313	  17.125	  24.629	  25.390	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      60	 16:16:17	   0.004	   0.000	  234.96	 1003.63	   13.32	   459.4	   457.7	   324.6	    62.4	   278.5	  -355.2	   0.000	   1.220	   548.9	    30.0	  339064	   74.00	   74.00	    3.34	    3.23	    0.00	  17.295	  17.138	  23.256	  24.003	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      61	 16:17:14	   0.004	   0.000	  235.31	 1003.65	   13.32	   731.4	   468.5	   273.4	     4.9	   518.1	  -361.7	   0.000	   1.221	   549.7	    30.0	  339323	   66.00	   66.00	    1.40	    1.29	    0.00	  16.994	  16.932	  21.094	  22.541	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      62	 16:18:01	   4.995	   0.000	  235.06	 1003.68	   13.32	  -130.9	   386.7	   995.3	   784.7	  -452.8	  -288.1	   0.000	   1.221	   549.2	    30.0	  339147	   92.00	   92.00	    9.73	    9.33	    0.00	  16.847	  16.767	  25.894	  26.463	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      63	 16:18:55	   4.995	   0.000	  234.71	 1003.70	   13.28	   259.1	   410.6	   927.2	   700.5	  -120.5	  -297.4	   0.000	   1.221	   548.3	    30.0	  338954	   84.00	   84.00	    6.52	    6.17	    0.00	  17.008	  16.846	  24.816	  25.407	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      64	 16:19:43	   4.995	   0.000	  235.11	 1003.68	   13.28	   672.6	   413.6	   843.2	   618.0	   243.7	  -304.5	   0.000	   1.221	   549.3	    30.0	  339246	   74.00	   74.00	    3.36	    3.20	    0.00	  16.967	  16.824	  23.410	  24.319	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
