  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	   0.004	   0.000	  0.2587	-0.035541	 0.01198	-0.06048	-0.035561	  0.2587	0.011976	-0.00129	-0.12515	-0.00206	-0.035541	-0.011976	0.258686	-0.00324	-0.11937	-0.00206	   -3.39	   -1.52	   33.94	   -0.57	   -2.17	   -0.37	  235.13	 1001.72	   12.71	   1.221	   549.3	   30.00	2.640E+5	   0.089
       2	   0.004	   0.000	  0.2538	-0.007040	 0.01167	-0.03819	-0.007060	  0.2538	0.011668	-0.00137	-0.10165	-0.00201	-0.007040	-0.011668	0.253829	-0.00327	-0.10051	-0.00201	    0.23	   -1.47	   33.19	   -0.58	   -1.77	   -0.36	  234.15	 1001.70	   12.75	   1.221	   547.0	   29.94	2.634E+5	   0.088
       3	   0.004	   0.000	  0.2542	-0.006536	 0.01187	-0.03728	-0.006555	  0.2542	0.011874	-0.00137	-0.10083	-0.00197	-0.006536	-0.011874	0.254210	-0.00330	-0.09977	-0.00197	    0.29	   -1.51	   33.37	   -0.59	   -1.76	   -0.35	  235.12	 1001.75	   12.81	   1.220	   549.3	   30.00	2.639E+5	   0.089
       4	   0.004	   0.000	  0.2473	0.022951	 0.01209	-0.00537	0.022932	  0.2473	0.012095	-0.00142	-0.06721	-0.00203	0.022951	-0.012095	0.247336	-0.00338	-0.07094	-0.00203	    4.04	   -1.54	   32.52	   -0.60	   -1.16	   -0.36	  235.24	 1001.86	   12.82	   1.220	   549.6	   30.01	2.640E+5	   0.089
       5	   0.004	   0.000	  0.2402	0.042310	 0.01051	 0.01873	0.042291	  0.2402	0.010510	-0.00150	-0.04133	-0.00204	0.042310	-0.010510	0.240239	-0.00321	-0.04821	-0.00204	    6.49	   -1.33	   31.60	   -0.57	   -0.68	   -0.36	  235.11	 1001.86	   12.84	   1.220	   549.3	   30.00	2.639E+5	   0.088
       6	   4.995	   0.000	  0.7706	-0.018362	 0.00745	-0.04295	-0.085396	  0.7661	0.007451	-0.00052	-0.23447	-0.00185	-0.018362	-0.007451	0.770621	-0.00190	-0.23149	-0.00181	   -1.38	   -0.95	   99.31	   -0.34	   -4.62	   -0.32	  235.04	 1001.93	   12.86	   1.220	   549.1	   30.00	2.638E+5	   0.088
       7	   4.995	   0.000	  0.7639	0.010049	 0.00574	-0.01525	-0.056504	  0.7618	0.005741	-0.00068	-0.20570	-0.00178	0.010049	-0.005741	0.763851	-0.00177	-0.20734	-0.00173	    2.22	   -0.73	   98.52	   -0.31	   -4.12	   -0.31	  235.21	 1001.95	   12.84	   1.220	   549.5	   30.01	2.639E+5	   0.089
       8	   4.995	   0.000	  0.7531	0.039768	 0.00754	 0.02105	-0.025964	  0.7537	0.007541	-0.00070	-0.16738	-0.00196	0.039768	-0.007541	0.753134	-0.00210	-0.17385	-0.00191	    5.99	   -0.96	   97.12	   -0.37	   -3.41	   -0.34	  235.11	 1001.91	   12.83	   1.220	   549.3	   30.00	2.639E+5	   0.088
       9	   4.995	   0.000	  0.7444	0.059344	 0.00781	 0.04436	-0.005706	  0.7468	0.007805	-0.00071	-0.14234	-0.00195	0.059344	-0.007805	0.744447	-0.00215	-0.15200	-0.00190	    8.48	   -0.99	   96.00	   -0.38	   -2.95	   -0.34	  235.07	 1001.99	   12.84	   1.221	   549.2	   30.00	2.639E+5	   0.088
