  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
     138	   0.005	   0.000	  0.3009	-0.005794	 0.01120	-0.17224	-0.005818	  0.3009	0.011204	-0.00154	-0.24747	-0.00201	-0.005794	-0.011204	0.300907	-0.00337	-0.24652	-0.00201	    0.39	   -1.43	   39.45	   -0.60	   -4.85	   -0.36	  236.04	 1007.08	   13.25	   1.225	   551.4	   30.01	2.646E+5	   0.088
     139	   0.005	   0.000	  0.2919	0.023784	 0.01204	-0.13530	0.023761	  0.2919	0.012041	-0.00161	-0.20829	-0.00202	0.023784	-0.012041	0.291939	-0.00357	-0.21216	-0.00202	    4.16	   -1.53	   38.32	   -0.64	   -4.13	   -0.36	  236.06	 1007.10	   13.31	   1.225	   551.5	   30.01	2.645E+5	   0.088
     140	   0.005	   0.000	  0.3000	-0.005849	 0.00928	-0.17188	-0.005872	  0.3000	0.009275	-0.00166	-0.24688	-0.00206	-0.005849	-0.009275	0.299988	-0.00317	-0.24592	-0.00206	    0.38	   -1.18	   39.39	   -0.57	   -4.85	   -0.37	  236.36	 1007.17	   13.32	   1.225	   552.2	   30.03	2.647E+5	   0.089
     141	   4.996	   0.000	  0.7964	0.043324	 0.00719	-0.10726	-0.026188	  0.7971	0.007188	-0.00096	-0.30654	-0.00186	0.043324	-0.007188	0.796370	-0.00229	-0.31359	-0.00179	    6.46	   -0.91	  102.86	   -0.41	   -6.35	   -0.32	  235.70	 1007.25	   13.32	   1.225	   550.6	   29.98	2.643E+5	   0.088
     142	   0.004	   4.995	  0.3064	-0.001383	 0.13789	-0.18588	-0.013406	  0.3064	0.137241	 0.01075	-0.26248	-0.03922	-0.013383	-0.137241	0.306398	-0.01158	-0.26030	-0.03922	   -0.58	  -17.48	   40.14	   -2.06	   -5.14	   -6.99	  235.97	 1007.25	   13.32	   1.225	   551.3	   30.00	2.645E+5	   0.088
     143	   0.004	   4.995	  0.2967	0.027563	 0.13468	-0.14720	0.015709	  0.2967	0.136573	 0.01076	-0.22138	-0.03915	0.015731	-0.136573	0.296714	-0.01147	-0.22394	-0.03915	    3.13	  -17.39	   38.90	   -2.04	   -4.37	   -6.98	  235.91	 1007.23	   13.34	   1.225	   551.1	   30.00	2.644E+5	   0.088
     144	   4.995	   4.995	  0.8154	0.018135	 0.11856	-0.16608	-0.063294	  0.8130	0.119694	 0.01025	-0.36934	-0.03141	0.007743	-0.119694	0.815448	-0.01202	-0.37060	-0.03242	    1.94	  -15.23	  105.33	   -2.14	   -7.55	   -5.78	  235.79	 1007.33	   13.34	   1.225	   550.9	   29.99	2.644E+5	   0.088
     145	   4.995	   4.995	  0.8011	0.046915	 0.11580	-0.12157	-0.033240	  0.8012	0.119442	 0.01040	-0.32188	-0.03149	0.036654	-0.119442	0.801066	-0.01183	-0.32784	-0.03252	    5.62	  -15.20	  103.52	   -2.11	   -6.66	   -5.79	  235.84	 1007.32	   13.32	   1.225	   551.0	   29.99	2.644E+5	   0.088
     146	   0.004	   0.000	  0.3000	-0.014590	 0.01396	-0.17754	-0.014612	  0.3000	0.013965	-0.00089	-0.25253	-0.00205	-0.014590	-0.013965	0.299975	-0.00317	-0.25016	-0.00205	   -1.30	   -3.16	   69.83	   -1.00	   -8.75	   -0.65	  417.71	 1007.37	   13.67	   1.224	   979.0	   40.00	3.519E+5	   0.118
     147	   0.004	   0.000	  0.2909	0.018043	 0.01288	-0.13815	0.018021	  0.2909	0.012883	-0.00108	-0.21088	-0.00213	0.018043	-0.012883	0.290916	-0.00318	-0.21381	-0.00213	    6.07	   -2.91	   67.72	   -1.01	   -7.39	   -0.67	  417.34	 1007.39	   13.75	   1.223	   978.1	   39.99	3.516E+5	   0.118
     148	   4.995	   0.000	  0.8088	0.005682	 0.00582	-0.17545	-0.064769	  0.8062	0.005818	-0.00116	-0.37701	-0.00134	0.005682	-0.005818	0.808814	-0.00222	-0.37794	-0.00124	    2.97	   -1.32	  185.67	   -0.70	  -13.70	   -0.39	  417.64	 1007.46	   13.78	   1.223	   978.8	   40.01	3.517E+5	   0.118
     149	   4.995	   0.000	  0.7955	0.037808	 0.00535	-0.13183	-0.031608	  0.7958	0.005348	-0.00122	-0.33078	-0.00130	0.037808	-0.005348	0.795526	-0.00220	-0.33693	-0.00120	   10.23	   -1.21	  182.53	   -0.70	  -12.16	   -0.38	  417.35	 1007.47	   13.78	   1.223	   978.1	   39.99	3.516E+5	   0.118
     150	   0.004	   4.995	  0.3052	-0.008003	 0.13571	-0.19333	-0.019812	  0.3052	0.134498	 0.01134	-0.26963	-0.03845	-0.019789	-0.134498	0.305189	-0.01055	-0.26641	-0.03845	   -2.47	  -30.38	   70.92	   -3.34	   -9.34	  -12.16	  417.18	 1007.54	   13.90	   1.223	   977.7	   39.99	3.514E+5	   0.118
     151	   0.004	   4.995	  0.2945	0.023901	 0.13287	-0.15146	0.012220	  0.2945	0.134442	 0.01152	-0.22508	-0.03843	0.012242	-0.134442	0.294463	-0.01035	-0.22707	-0.03843	    4.76	  -30.37	   68.50	   -3.27	   -7.88	  -12.15	  417.20	 1007.58	   13.96	   1.223	   977.8	   39.99	3.513E+5	   0.118
     152	   4.995	   4.995	  0.8139	0.011112	 0.11573	-0.19010	-0.069885	  0.8109	0.116257	 0.00996	-0.39283	-0.03054	0.000993	-0.116257	0.813937	-0.01167	-0.39299	-0.03153	    1.91	  -26.25	  186.57	   -3.69	  -14.24	   -9.97	  417.09	 1007.61	   13.96	   1.223	   977.5	   39.99	3.513E+5	   0.118
     153	   4.995	   4.995	  0.7987	0.042773	 0.11341	-0.14244	-0.036938	  0.7985	0.116701	 0.01043	-0.34207	-0.03071	0.032737	-0.116701	0.798730	-0.01130	-0.34740	-0.03174	    9.09	  -26.38	  183.32	   -3.57	  -12.55	  -10.04	  417.49	 1007.64	   13.96	   1.223	   978.5	   40.01	3.514E+5	   0.118
     154	   4.995	   0.000	  0.8072	0.013978	 0.00579	-0.14679	-0.056365	  0.8054	0.005793	-0.00107	-0.34813	-0.00182	0.013978	-0.005793	0.807216	-0.00217	-0.35040	-0.00173	    2.73	   -0.74	  104.39	   -0.39	   -7.14	   -0.31	  236.03	 1007.68	   13.76	   1.224	   551.4	   30.02	2.641E+5	   0.088
