  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
     114	   0.005	   4.995	  0.2621	-0.029397	 0.14125	-0.06902	-0.041605	  0.2621	0.138154	 0.01057	-0.13455	-0.03965	-0.041584	-0.138154	0.262131	-0.01192	-0.12779	-0.03965	   -4.16	  -17.56	   34.43	   -2.12	   -2.35	   -7.05	  235.46	 1005.75	   13.64	   1.222	   550.1	   30.01	2.636E+5	   0.088
     115	   0.005	   4.995	  0.2562	-0.002020	 0.13866	-0.04293	-0.014106	  0.2562	0.137960	 0.01092	-0.10699	-0.03943	-0.014086	-0.137960	0.256209	-0.01153	-0.10469	-0.03943	   -0.67	  -17.52	   33.65	   -2.05	   -1.86	   -7.01	  235.30	 1005.75	   13.67	   1.222	   549.7	   30.00	2.635E+5	   0.088
     116	   0.005	   4.995	  0.2487	0.026779	 0.13534	-0.00997	0.014874	  0.2487	0.137158	 0.01088	-0.07216	-0.03933	0.014894	-0.137158	0.248733	-0.01144	-0.07458	-0.03933	    3.01	  -17.42	   32.72	   -2.03	   -1.23	   -6.99	  235.39	 1005.84	   13.68	   1.222	   549.9	   30.00	2.635E+5	   0.088
     117	   0.005	   4.995	  0.2415	0.046361	 0.13369	 0.01612	0.034526	  0.2415	0.137215	 0.01097	-0.04425	-0.03945	0.034545	-0.137215	0.241459	-0.01136	-0.04987	-0.03945	    5.51	  -17.42	   31.78	   -2.02	   -0.72	   -7.01	  235.31	 1005.77	   13.70	   1.221	   549.7	   30.00	2.635E+5	   0.088
     118	   4.995	   4.995	  0.7739	-0.013118	 0.12102	-0.04897	-0.090900	  0.7689	0.119421	 0.00995	-0.24118	-0.03149	-0.023605	-0.119421	0.773856	-0.01228	-0.23734	-0.03248	   -2.05	  -15.16	   99.82	   -2.18	   -4.75	   -5.77	  235.27	 1005.72	   13.66	   1.222	   549.6	   30.00	2.635E+5	   0.088
     119	   4.995	   4.995	  0.7656	0.014294	 0.11917	-0.01882	-0.062817	  0.7630	0.119961	 0.01029	-0.20958	-0.03147	0.003864	-0.119961	0.765609	-0.01202	-0.21021	-0.03249	    1.44	  -15.22	   98.73	   -2.14	   -4.18	   -5.77	  235.18	 1005.78	   13.60	   1.222	   549.4	   29.99	2.635E+5	   0.088
     120	   4.995	   4.995	  0.7528	0.043082	 0.11653	 0.01937	-0.032905	  0.7528	0.119834	 0.01045	-0.16884	-0.03156	0.032772	-0.119834	0.752829	-0.01185	-0.17417	-0.03260	    5.11	  -15.21	   97.15	   -2.11	   -3.42	   -5.79	  235.27	 1005.85	   13.58	   1.222	   549.6	   29.99	2.636E+5	   0.088
     121	   4.995	   4.995	  0.7436	0.062803	 0.11512	 0.04691	-0.012412	  0.7454	0.120146	 0.01068	-0.13944	-0.03176	0.052541	-0.120146	0.743649	-0.01170	-0.14798	-0.03281	    7.62	  -15.25	   95.94	   -2.08	   -2.87	   -5.83	  235.17	 1005.83	   13.58	   1.222	   549.4	   29.99	2.635E+5	   0.088
     122	   0.005	   4.995	  0.2554	-0.008436	 0.13630	-0.04902	-0.020291	  0.2554	0.135044	 0.01138	-0.11287	-0.03861	-0.020271	-0.135044	0.255433	-0.01059	-0.10957	-0.03861	   -2.58	  -30.49	   59.66	   -3.35	   -3.50	  -12.20	  417.01	 1005.92	   13.86	   1.221	   977.3	   40.01	3.511E+5	   0.118
