  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      50	   0.004	  -5.000	  0.2664	-0.025026	-0.15773	-0.06969	-0.038699	  0.2664	-0.154948	-0.02371	-0.13628	 0.04911	-0.038678	0.154948	0.266358	 0.00150	-0.12998	 0.04911	   -3.78	   19.63	   34.87	    0.27	   -2.39	    8.71	  234.78	 1003.40	   13.32	   1.220	   548.5	   29.98	2.633E+5	   0.088
      51	   0.004	  -5.000	  0.2607	0.002687	-0.15549	-0.04360	-0.010895	  0.2607	-0.155133	-0.02413	-0.10877	 0.04901	-0.010875	0.155133	0.260688	 0.00112	-0.10700	 0.04901	   -0.26	   19.69	   34.20	    0.20	   -1.91	    8.71	  235.14	 1003.47	   13.35	   1.220	   549.3	   30.01	2.635E+5	   0.088
      52	   0.004	  -5.000	  0.2536	0.031742	-0.15260	-0.01031	0.018302	  0.2536	-0.154782	-0.02426	-0.07370	 0.04895	0.018321	0.154782	0.253586	 0.00093	-0.07668	 0.04895	    3.45	   19.65	   33.32	    0.17	   -1.28	    8.70	  235.29	 1003.42	   13.36	   1.220	   549.7	   30.02	2.636E+5	   0.088
      53	   0.004	  -5.000	  0.2469	0.051245	-0.15144	 0.01483	0.037832	  0.2469	-0.155332	-0.02466	-0.04689	 0.04921	0.037851	0.155332	0.246894	 0.00061	-0.05305	 0.04922	    5.92	   19.71	   32.44	    0.11	   -0.78	    8.74	  235.11	 1003.45	   13.36	   1.220	   549.3	   30.01	2.635E+5	   0.088
      54	   4.995	  -5.000	  0.7802	-0.009100	-0.14124	-0.05183	-0.089234	  0.7754	-0.139907	-0.02033	-0.24569	 0.04122	-0.021375	0.139907	0.780237	 0.00612	-0.24221	 0.04315	   -1.76	   17.73	  100.43	    1.09	   -4.84	    7.66	  234.81	 1003.50	   13.34	   1.220	   548.6	   29.99	2.633E+5	   0.088
      55	   4.995	  -5.000	  0.7712	0.018343	-0.13960	-0.02153	-0.061072	  0.7688	-0.140668	-0.02081	-0.21373	 0.04125	0.006106	0.140668	0.771215	 0.00578	-0.21473	 0.04322	    1.72	   17.83	   99.32	    1.03	   -4.26	    7.67	  234.89	 1003.47	   13.32	   1.220	   548.8	   29.99	2.634E+5	   0.088
      56	   4.995	  -5.000	  0.7601	0.047501	-0.13724	 0.01746	-0.030958	  0.7602	-0.140854	-0.02122	-0.17260	 0.04140	0.035359	0.140854	0.760050	 0.00541	-0.17835	 0.04341	    5.43	   17.86	   97.95	    0.96	   -3.51	    7.71	  235.00	 1003.53	   13.28	   1.221	   549.0	   29.99	2.635E+5	   0.088
      57	   4.995	  -5.000	  0.7506	0.067038	-0.13604	 0.04481	-0.010644	  0.7525	-0.141369	-0.02162	-0.14332	 0.04167	0.054925	0.141369	0.750608	 0.00512	-0.15226	 0.04372	    7.91	   17.93	   96.75	    0.91	   -2.96	    7.76	  234.98	 1003.54	   13.28	   1.221	   549.0	   29.99	2.635E+5	   0.088
      58	   0.004	   0.000	  0.2552	-0.033744	-0.02310	-0.04574	-0.033764	  0.2552	-0.023102	-0.01061	-0.10953	 0.01258	-0.033744	0.023102	0.255156	-0.00685	-0.10404	 0.01258	   -3.16	    2.93	   33.53	   -1.22	   -1.85	    2.24	  235.34	 1003.54	   13.32	   1.220	   549.8	   30.02	2.636E+5	   0.088
