AoA	AoS	CD	    Cy	    CL	    CMroll	CMpitch	CMyaw
-5	0	0.0061	0.0046	0.0228	-0.0017	0.0013	0.0024
-4	0	0.0068	0.0063	0.0196	-0.0016	-0.0008	0.0026
-3	0	0.0071	0.0046	0.0187	-0.0012	-0.0024	0.0028
-2	0	0.0075	0.0024	0.0176	-0.0009	-0.0045	0.0031
-1	0	0.0078	0.0009	0.0169	-0.0008	-0.0059	0.0032
0	0	0.008	0	0.0162	-0.0006	-0.0065	0.0032
1	0	0.0082	0.0003	0.0144	-0.0008	-0.0071	0.0031
2	0	0.0083	-0.0002	0.013	-0.0006	-0.0073	0.003
3	0	0.0082	-0.0011	0.0108	-0.0005	-0.0066	0.0031
4	0	0.0082	0	0.0087	-0.0008	-0.0059	0.0029
5	0	0.008	-0.001	0.006	-0.0007	-0.0048	0.003
6	0	0.0074	-0.0035	0.0046	-0.0001	-0.0039	0.0032
7	0	0.0062	-0.0037	0.0061	0.0005	-0.0022	0.0033
8	0	0.0046	-0.0049	0.0067	0.0008	-0.0002	0.0035
9	0	0.0076	-0.006	-0.009	0.0008	-0.001	0.0036
10	0	0.0095	-0.0051	-0.0099	0.0014	-0.0036	0.003
11	0	0.0086	-0.005	0.0052	0.0015	-0.0011	0.0028
12	0	0.0091	-0.0051	0.0169	0.002	-0.0017	0.0026
13	0	0.0121	-0.0049	0.0294	0.0025	-0.0084	0.0023
14	0	0.0111	-0.0052	0.0334	0.003	-0.0012	0.0024
0	-10	0.0277	-0.0111	0.0181	0.0061	-0.0399	0.0079
0	-9	0.0176	-0.0639	0.0165	0.0177	-0.0081	0.0234
0	-8	0.0158	-0.059	0.0165	0.0165	-0.0086	0.0226
0	-7	0.0135	-0.0528	0.0183	0.015	-0.0078	0.0213
0	-6	0.0114	-0.0461	0.0169	0.013	-0.007	0.0196
0	-5	0.009	-0.0369	0.0171	0.0105	-0.0035	0.017
0	-4	0.0081	-0.0276	0.0168	0.0081	-0.0046	0.0143
0	-3	0.0091	-0.0083	0.0196	0.0046	-0.0073	0.0123
0	-2	0.0082	-0.0088	0.0174	0.0032	-0.007	0.0089
0	-1	0.0078	-0.003	0.0173	0.0012	-0.0071	0.0065
0	0	0.0076	-0.0015	0.0179	-0.0004	-0.0062	0.0038
0	1	0.0074	-0.0109	0.0174	0	-0.0049	0.0011
0	2	0.0072	-0.0105	0.0176	-0.0013	-0.005	-0.0014
0	3	0.0074	-0.0071	0.0189	-0.0027	-0.0046	-0.0041
0	4	0.007	0.0061	0.0141	-0.0061	-0.0033	-0.0067
0	5	0.0057	0.0132	0.0157	-0.0083	0.0015	-0.0086
0	6	0.0036	0.0302	0.0172	-0.0134	0.01	-0.0134
0	7	0.0021	0.0455	0.0147	-0.0173	0.0183	-0.0172
0	8	0.0024	0.0583	0.0143	-0.0198	0.0219	-0.0201
0	9	0.0035	0.0649	0.0135	-0.0205	0.0224	-0.0212
0	10	0.0058	0.0619	0.0141	-0.0189	0.0177	-0.0197

