# AoA	AoS	CD	    Cy	    CL	    CMroll	CMpitch	CMyaw
0	-10	0.0277	-0.0111	0.0181	0.0061	-0.0399	0.0079
0	-9	0.0176	-0.0639	0.0165	0.0177	-0.0081	0.0234
0	-8	0.0158	-0.059	0.0165	0.0165	-0.0086	0.0226
0	-7	0.0135	-0.0528	0.0183	0.015	-0.0078	0.0213
0	-6	0.0114	-0.0461	0.0169	0.013	-0.007	0.0196
0	-5	0.009	-0.0369	0.0171	0.0105	-0.0035	0.017
0	-4	0.0081	-0.0276	0.0168	0.0081	-0.0046	0.0143
0	-3	0.0091	-0.0083	0.0196	0.0046	-0.0073	0.0123
0	-2	0.0082	-0.0088	0.0174	0.0032	-0.007	0.0089
0	-1	0.0078	-0.003	0.0173	0.0012	-0.0071	0.0065
0	0	0.0076	-0.0015	0.0179	-0.0004	-0.0062	0.0038
0	1	0.0074	-0.0109	0.0174	0	-0.0049	0.0011
0	2	0.0072	-0.0105	0.0176	-0.0013	-0.005	-0.0014
0	3	0.0074	-0.0071	0.0189	-0.0027	-0.0046	-0.0041
0	4	0.007	0.0061	0.0141	-0.0061	-0.0033	-0.0067
0	5	0.0057	0.0132	0.0157	-0.0083	0.0015	-0.0086
0	6	0.0036	0.0302	0.0172	-0.0134	0.01	-0.0134
0	7	0.0021	0.0455	0.0147	-0.0173	0.0183	-0.0172
0	8	0.0024	0.0583	0.0143	-0.0198	0.0219	-0.0201
0	9	0.0035	0.0649	0.0135	-0.0205	0.0224	-0.0212
0	10	0.0058	0.0619	0.0141	-0.0189	0.0177	-0.0197
