# run         dr         AoA         AoS         pTaps0         pTaps1         pTaps2         pTaps3         pTaps4         pTaps5         CpTaps0         CpTaps1         CpTaps2         CpTaps3         CpTaps4         CpTaps5
   1.00000    0.00000    0.00400    0.00000  -64.68000  -58.33000  -46.62000  -27.93000    3.86000  -10.79000   -0.18533   -0.17377   -0.15245   -0.11842   -0.06055   -0.08722
   2.00000    0.00000    0.00400    0.00000  -60.80000  -56.90000  -47.54000  -31.21000   -1.71000  -15.72000   -0.17937   -0.17224   -0.15513   -0.12527   -0.07133   -0.09695
   3.00000    0.00000    0.00400    0.00000  -60.72000  -56.84000  -47.49000  -31.09000   -1.56000  -15.63000   -0.17936   -0.17229   -0.15527   -0.12541   -0.07165   -0.09727
   4.00000    0.00000    0.00400    0.00000  -56.07000  -54.78000  -47.91000  -34.07000   -7.20000  -20.46000   -0.17316   -0.17082   -0.15832   -0.13313   -0.08424   -0.10837
   5.00000    0.00000    0.00400    0.00000  -53.02000  -53.59000  -48.54000  -36.63000  -11.88000  -24.49000   -0.16920   -0.17023   -0.16104   -0.13936   -0.09430   -0.11726
   6.00000    0.00000    4.99500    0.00000  -53.11000  -42.12000  -29.14000  -10.30000   22.14000    6.79000   -0.16026   -0.14025   -0.11661   -0.08230   -0.02322   -0.05117
   7.00000    0.00000    4.99500    0.00000  -48.03000  -39.16000  -28.24000  -11.55000   18.44000    3.95000   -0.15301   -0.13687   -0.11700   -0.08662   -0.03205   -0.05842
   8.00000    0.00000    4.99500    0.00000  -41.12000  -34.50000  -25.73000  -11.16000   16.27000    2.62000   -0.14701   -0.13495   -0.11899   -0.09246   -0.04253   -0.06738
   9.00000    0.00000    4.99500    0.00000  -39.00000  -34.08000  -26.86000  -14.02000   11.52000   -1.47000   -0.14213   -0.13318   -0.12003   -0.09665   -0.05015   -0.07380
  10.00000    0.00000    0.00400    5.00000  -62.34000  -53.11000  -41.65000  -25.71000   -2.12000  -12.03000   -0.18201   -0.16520   -0.14434   -0.11531   -0.07236   -0.09040
  11.00000    0.00000    0.00400    5.00000  -58.89000  -52.06000  -42.57000  -28.59000   -6.80000  -16.22000   -0.17738   -0.16494   -0.14767   -0.12222   -0.08256   -0.09971
  12.00000    0.00000    0.00400    5.00000  -54.51000  -50.26000  -43.24000  -31.61000  -12.50000  -21.03000   -0.17154   -0.16380   -0.15101   -0.12982   -0.09501   -0.11055
  13.00000    0.00000    0.00400    5.00000  -49.85000  -47.48000  -42.16000  -32.33000  -15.09000  -22.99000   -0.16813   -0.16381   -0.15412   -0.13621   -0.10479   -0.11919
  14.00000    0.00000    4.99500    5.00000  -54.27000  -42.50000  -29.85000  -11.49000   15.25000    3.75000   -0.16520   -0.14377   -0.12074   -0.08731   -0.03862   -0.05956
  15.00000    0.00000    4.99500    5.00000  -49.25000  -39.69000  -29.22000  -12.95000   12.09000    0.98000   -0.15968   -0.14228   -0.12323   -0.09361   -0.04803   -0.06826
  16.00000    0.00000    4.99500    5.00000  -47.28000  -40.34000  -32.20000  -18.27000    4.79000   -6.02000   -0.15399   -0.14135   -0.12654   -0.10118   -0.05921   -0.07889
  17.00000    0.00000    4.99500    5.00000  -42.93000  -37.88000  -31.42000  -19.20000    2.08000   -8.25000   -0.15049   -0.14129   -0.12953   -0.10727   -0.06851   -0.08732
  18.00000    0.00000    0.00400   10.00000  -77.88000  -67.19000  -54.13000  -33.74000  -11.90000  -20.26000   -0.21536   -0.19591   -0.17214   -0.13503   -0.09529   -0.11050
  19.00000    0.00000    0.00400   10.00000  -74.61000  -65.92000  -54.82000  -36.53000  -16.74000  -24.47000   -0.20993   -0.19410   -0.17388   -0.14058   -0.10453   -0.11861
  20.00000    0.00000    0.00400   10.00000  -68.10000  -61.91000  -53.48000  -38.00000  -21.07000  -27.99000   -0.20353   -0.19226   -0.17691   -0.14872   -0.11788   -0.13049
  21.00000    0.00000    0.00400   10.00000  -65.07000  -60.64000  -54.10000  -40.69000  -26.34000  -32.29000   -0.19907   -0.19101   -0.17911   -0.15470   -0.12859   -0.13942
  22.00000    0.00000    4.99500   10.00000  -73.38000  -65.05000  -53.88000  -32.88000    0.44000  -15.59000   -0.20715   -0.19199   -0.17166   -0.13344   -0.07279   -0.10197
  23.00000    0.00000    4.99500   10.00000  -69.13000  -62.42000  -53.21000  -34.54000   -3.79000  -19.00000   -0.20075   -0.18855   -0.17181   -0.13788   -0.08199   -0.10963
  24.00000    0.00000    4.99500   10.00000  -64.45000  -59.83000  -53.02000  -37.13000  -10.06000  -23.98000   -0.19332   -0.18491   -0.17252   -0.14360   -0.09434   -0.11967
  25.00000    0.00000    4.99500   10.00000  -59.72000  -56.62000  -51.48000  -37.66000  -13.18000  -26.19000   -0.18823   -0.18258   -0.17321   -0.14802   -0.10341   -0.12712
  26.00000    0.00000    0.00400    0.00000 -109.44000 -101.79000  -84.19000  -53.26000    0.38000  -25.23000   -0.17928   -0.17144   -0.15341   -0.12172   -0.06676   -0.09300
  27.00000    0.00000    0.00400    0.00000 -100.71000  -98.01000  -85.39000  -59.60000  -11.20000  -35.27000   -0.17242   -0.16965   -0.15671   -0.13026   -0.08062   -0.10530
  28.00000    0.00000    0.00400    0.00000  -98.69000  -97.75000  -86.75000  -62.61000  -16.04000  -39.57000   -0.17052   -0.16956   -0.15827   -0.13351   -0.08573   -0.10987
  29.00000    0.00000    0.00400    0.00000  -94.49000  -95.61000  -86.52000  -64.46000  -20.07000  -42.94000   -0.16822   -0.16937   -0.16005   -0.13744   -0.09193   -0.11538
  30.00000    0.00000    4.99500    0.00000  -85.81000  -69.42000  -49.12000  -17.86000   36.34000   10.17000   -0.15230   -0.13548   -0.11464   -0.08256   -0.02694   -0.05380
  31.00000    0.00000    4.99500    0.00000  -75.94000  -64.01000  -47.88000  -21.01000   28.30000    3.62000   -0.14458   -0.13235   -0.11580   -0.08825   -0.03768   -0.06299
  32.00000    0.00000    4.99500    0.00000  -72.59000  -62.12000  -47.43000  -22.07000   25.42000    1.41000   -0.14227   -0.13152   -0.11645   -0.09044   -0.04172   -0.06635
  33.00000    0.00000    4.99500    0.00000  -70.59000  -61.85000  -48.86000  -25.31000   19.82000   -3.26000   -0.13930   -0.13033   -0.11700   -0.09284   -0.04653   -0.07021
  34.00000    0.00000    0.00400    4.99500 -106.75000  -93.68000  -75.97000  -49.90000  -10.90000  -27.50000   -0.17745   -0.16405   -0.14589   -0.11916   -0.07916   -0.09619
  35.00000    0.00000    0.00400    4.99500  -97.34000  -89.42000  -76.31000  -54.89000  -20.45000  -35.73000   -0.17133   -0.16320   -0.14975   -0.12778   -0.09245   -0.10812
  36.00000    0.00000    0.00400    4.99500  -94.43000  -88.19000  -76.59000  -56.72000  -24.21000  -38.72000   -0.16948   -0.16308   -0.15117   -0.13077   -0.09740   -0.11230
  37.00000    0.00000    0.00400    4.99500  -90.51000  -86.30000  -76.49000  -58.47000  -27.75000  -41.82000   -0.16696   -0.16264   -0.15258   -0.13411   -0.10261   -0.11704
  38.00000    0.00000    4.99500    4.99500  -91.13000  -74.19000  -55.00000  -24.16000   22.21000    1.16000   -0.16212   -0.14474   -0.12505   -0.09340   -0.04582   -0.06742
  39.00000    0.00000    4.99500    4.99500  -84.12000  -72.10000  -57.54000  -31.38000   10.50000   -9.58000   -0.15570   -0.14337   -0.12842   -0.10158   -0.05860   -0.07921
  40.00000    0.00000    4.99500    4.99500  -81.39000  -70.98000  -57.94000  -33.36000    6.84000  -12.79000   -0.15387   -0.14318   -0.12980   -0.10457   -0.06330   -0.08345
